gender,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,total score,test preparation course,admission prospect
male,group E,associate's degree,standard,66,63,64,193,completed,medium
female,group B,associate's degree,free/reduced,52,76,70,198,none,medium
female,group B,some high school,standard,70,64,72,206,none,medium
female,group D,associate's degree,free/reduced,77,89,98,264,completed,high
male,group C,high school,standard,62,55,49,166,none,medium
male,group A,associate's degree,standard,54,53,47,154,none,low
female,group D,some college,standard,51,58,54,163,none,medium
female,group E,bachelor's degree,standard,99,100,100,299,completed,high
male,group C,high school,standard,84,77,74,235,none,high
female,group B,bachelor's degree,free/reduced,75,85,82,242,none,high
female,group D,bachelor's degree,standard,78,82,79,239,none,high
female,group D,some high school,standard,51,63,61,175,none,medium
female,group C,some college,standard,55,69,65,189,none,medium
female,group C,bachelor's degree,standard,79,92,89,260,completed,high
male,group B,associate's degree,standard,91,89,92,272,completed,high
female,group C,some college,standard,88,93,93,274,completed,high
male,group D,high school,free/reduced,63,57,56,176,none,medium
male,group E,some college,standard,83,80,73,236,none,high
female,group B,high school,standard,87,95,86,268,none,high
male,group B,some high school,standard,72,68,67,207,none,medium
male,group D,some college,standard,65,77,74,216,completed,medium
male,group D,master's degree,standard,82,82,74,238,none,high
female,group A,bachelor's degree,standard,51,49,51,151,none,low
male,group D,master's degree,standard,89,84,82,255,none,high
male,group C,some high school,free/reduced,53,37,40,130,completed,low
male,group E,some college,free/reduced,87,74,70,231,completed,high
female,group C,some college,standard,75,81,84,240,completed,high
male,group D,bachelor's degree,free/reduced,74,79,75,228,completed,high
male,group C,bachelor's degree,standard,58,55,48,161,none,medium
male,group B,some high school,standard,51,54,41,146,completed,low
male,group E,high school,standard,70,55,56,181,none,medium
female,group C,associate's degree,standard,59,66,67,192,none,medium
male,group D,some college,standard,71,61,69,201,completed,medium
female,group D,some high school,standard,76,72,71,219,none,medium
female,group C,some college,free/reduced,59,62,64,185,none,medium
female,group E,some college,free/reduced,42,55,54,151,completed,low
male,group A,high school,standard,57,43,47,147,none,low
male,group D,some college,standard,88,73,78,239,none,high
female,group C,some college,free/reduced,22,39,33,94,none,low
male,group B,some high school,standard,88,84,75,247,none,high
male,group C,associate's degree,free/reduced,73,68,66,207,none,medium
female,group D,bachelor's degree,standard,68,75,81,224,completed,high
male,group E,associate's degree,free/reduced,100,100,93,293,completed,high
male,group A,some high school,standard,62,67,69,198,completed,medium
male,group A,bachelor's degree,standard,77,67,68,212,none,medium
female,group B,associate's degree,standard,59,70,66,195,completed,medium
male,group D,bachelor's degree,standard,54,49,47,150,none,low
male,group D,some high school,standard,62,67,61,190,none,medium
female,group C,some college,standard,70,89,88,247,completed,high
female,group E,high school,free/reduced,66,74,78,218,completed,medium
male,group B,some college,free/reduced,60,60,60,180,none,medium
female,group B,associate's degree,standard,61,86,87,234,completed,high
male,group D,associate's degree,free/reduced,66,62,64,192,none,medium
male,group B,associate's degree,free/reduced,82,78,74,234,completed,high
female,group E,some college,free/reduced,75,88,85,248,completed,high
male,group B,master's degree,free/reduced,49,53,52,154,none,low
male,group C,high school,standard,52,53,49,154,none,low
female,group E,master's degree,standard,81,92,91,264,none,high
female,group C,bachelor's degree,standard,96,100,100,296,completed,high
male,group C,high school,free/reduced,53,51,51,155,completed,low
female,group B,master's degree,free/reduced,58,76,78,212,completed,medium
female,group B,high school,standard,68,83,78,229,completed,high
female,group C,some college,free/reduced,67,75,70,212,completed,medium
male,group A,high school,standard,72,73,74,219,completed,medium
male,group E,some high school,standard,94,88,78,260,none,high
female,group D,some college,standard,79,86,81,246,none,high
female,group C,associate's degree,standard,63,67,70,200,none,medium
female,group C,bachelor's degree,free/reduced,43,51,54,148,completed,low
female,group C,master's degree,standard,81,91,87,259,completed,high
female,group B,high school,free/reduced,46,54,58,158,completed,low
female,group C,associate's degree,standard,71,77,77,225,completed,high
female,group B,master's degree,free/reduced,52,70,62,184,completed,medium
female,group D,some high school,standard,97,100,100,297,completed,high
male,group C,master's degree,free/reduced,62,68,75,205,completed,medium
female,group C,some college,free/reduced,46,64,66,176,none,medium
female,group E,high school,standard,50,50,47,147,none,low
female,group D,associate's degree,standard,65,69,70,204,none,medium
male,group C,some high school,free/reduced,45,52,49,146,completed,low
male,group C,associate's degree,free/reduced,65,67,65,197,completed,medium
male,group E,high school,standard,80,76,65,221,none,high
male,group D,some high school,standard,62,66,68,196,completed,medium
male,group B,some high school,free/reduced,48,52,45,145,none,low
female,group C,bachelor's degree,standard,77,88,87,252,none,high
female,group E,associate's degree,standard,66,65,69,200,none,medium
male,group D,some college,standard,76,83,79,238,completed,high
female,group B,some high school,standard,62,64,66,192,none,medium
male,group D,some college,standard,77,62,62,201,completed,medium
female,group C,master's degree,standard,69,84,85,238,completed,high
male,group D,associate's degree,standard,61,55,52,168,none,medium
male,group C,some high school,free/reduced,59,69,65,193,completed,medium
male,group E,high school,free/reduced,55,56,51,162,none,medium
female,group B,some college,free/reduced,45,53,55,153,none,low
female,group B,bachelor's degree,free/reduced,78,79,76,233,none,high
female,group C,associate's degree,standard,67,84,86,237,completed,high
female,group D,some college,free/reduced,65,81,77,223,none,high
male,group C,associate's degree,standard,69,77,69,215,none,medium
female,group B,associate's degree,standard,57,69,68,194,none,medium
male,group C,some college,standard,59,41,42,142,none,low
male,group D,some high school,standard,74,71,78,223,completed,high
male,group E,bachelor's degree,standard,82,62,62,206,none,medium
male,group E,high school,standard,81,80,76,237,completed,high
female,group B,some college,free/reduced,74,81,76,231,none,high
female,group B,some college,free/reduced,58,61,66,185,none,medium
male,group D,some high school,free/reduced,80,79,79,238,completed,high
male,group C,some college,free/reduced,35,28,27,90,none,low
female,group C,high school,free/reduced,42,62,60,164,none,medium
male,group C,associate's degree,free/reduced,60,51,56,167,completed,medium
male,group E,high school,standard,87,91,81,259,completed,high
male,group B,some high school,standard,84,83,75,242,completed,high
female,group E,associate's degree,free/reduced,83,86,88,257,completed,high
female,group C,high school,free/reduced,34,42,39,115,none,low
male,group B,high school,free/reduced,66,77,70,213,none,medium
male,group B,some high school,standard,61,56,56,173,completed,medium
female,group D,high school,standard,56,68,74,198,completed,medium
male,group B,associate's degree,standard,87,85,73,245,none,high
female,group C,some high school,free/reduced,55,65,62,182,none,medium
male,group D,some high school,standard,86,80,75,241,none,high
female,group B,associate's degree,standard,52,66,73,191,completed,medium
female,group E,master's degree,free/reduced,45,56,54,155,none,low
female,group C,some college,standard,72,72,71,215,none,medium
male,group D,high school,standard,57,50,54,161,none,medium
male,group A,some high school,free/reduced,68,72,64,204,none,medium
female,group C,some college,standard,88,95,94,277,completed,high
male,group D,some college,standard,76,64,66,206,none,medium
male,group C,associate's degree,standard,46,43,42,131,none,low
female,group B,bachelor's degree,standard,67,86,83,236,none,high
male,group E,some high school,standard,92,87,78,257,none,high
male,group C,bachelor's degree,standard,83,82,84,249,completed,high
male,group D,associate's degree,standard,80,75,77,232,none,high
male,group D,bachelor's degree,free/reduced,63,66,67,196,none,medium
female,group D,some high school,standard,64,60,74,198,completed,medium
male,group B,some college,standard,54,52,51,157,none,low
male,group C,associate's degree,standard,84,80,80,244,none,high
male,group D,high school,free/reduced,73,68,66,207,completed,medium
female,group E,bachelor's degree,standard,80,83,83,246,none,high
female,group D,high school,standard,56,52,55,163,none,medium
male,group E,some college,standard,59,51,43,153,none,low
male,group D,some high school,standard,75,74,69,218,none,medium
male,group C,associate's degree,standard,85,76,71,232,none,high
male,group E,associate's degree,standard,89,76,74,239,none,high
female,group B,high school,standard,58,70,68,196,completed,medium
female,group B,high school,standard,65,64,62,191,none,medium
male,group C,high school,standard,68,60,53,181,none,medium
male,group A,some high school,standard,47,49,49,145,completed,low
female,group D,some college,free/reduced,71,83,83,237,none,high
female,group B,some high school,standard,60,70,70,200,completed,medium
male,group D,master's degree,standard,80,80,72,232,none,high
male,group D,high school,standard,54,52,52,158,none,low
female,group E,some college,standard,62,73,70,205,none,medium
female,group C,associate's degree,free/reduced,64,73,68,205,none,medium
male,group C,associate's degree,standard,78,77,77,232,completed,high
female,group B,some college,standard,70,75,78,223,none,high
female,group C,master's degree,free/reduced,65,81,81,227,completed,high
female,group C,some high school,free/reduced,64,79,77,220,completed,medium
male,group C,some college,standard,79,79,78,236,completed,high
female,group C,some high school,free/reduced,44,50,51,145,none,low
female,group E,high school,standard,99,93,90,282,none,high
male,group D,high school,standard,76,73,68,217,none,medium
male,group D,some high school,free/reduced,59,42,41,142,none,low
female,group C,bachelor's degree,standard,63,75,81,219,none,medium
female,group D,high school,standard,69,72,77,218,none,medium
female,group D,associate's degree,standard,88,92,95,275,completed,high
female,group E,some college,free/reduced,71,76,70,217,none,medium
male,group C,bachelor's degree,standard,69,63,61,193,none,medium
male,group C,some college,standard,58,49,42,149,none,low
female,group D,associate's degree,free/reduced,47,53,58,158,none,low
female,group D,some college,standard,65,70,71,206,none,medium
male,group B,some college,standard,88,85,76,249,completed,high
male,group C,bachelor's degree,standard,83,78,73,234,none,high
female,group C,some high school,standard,85,92,93,270,completed,high
female,group E,high school,standard,59,63,75,197,completed,medium
female,group C,some high school,free/reduced,65,86,80,231,none,high
male,group B,bachelor's degree,free/reduced,73,56,57,186,none,medium
male,group D,high school,standard,53,52,42,147,none,low
male,group D,high school,standard,45,48,46,139,none,low
female,group D,bachelor's degree,free/reduced,73,79,84,236,none,high
female,group D,some college,free/reduced,70,78,78,226,completed,high
female,group B,some high school,standard,37,46,46,129,none,low
male,group B,associate's degree,standard,81,82,82,245,completed,high
male,group E,associate's degree,standard,97,82,88,267,completed,high
female,group B,some high school,standard,67,89,82,238,none,high
male,group B,bachelor's degree,free/reduced,88,75,76,239,none,high
male,group E,some high school,standard,77,76,77,230,completed,high
male,group C,associate's degree,standard,76,70,68,214,none,medium
male,group D,some high school,standard,86,73,70,229,none,high
male,group C,some high school,standard,63,60,57,180,completed,medium
female,group E,bachelor's degree,standard,65,73,75,213,none,medium
male,group D,high school,free/reduced,78,77,80,235,completed,high
male,group B,associate's degree,free/reduced,67,62,60,189,none,medium
male,group A,some high school,standard,46,41,43,130,completed,low
male,group E,associate's degree,standard,71,74,68,213,completed,medium
male,group C,high school,free/reduced,40,46,50,136,completed,low
male,group D,associate's degree,free/reduced,90,87,75,252,none,high
male,group A,some college,free/reduced,81,78,81,240,completed,high
male,group D,some high school,free/reduced,56,54,52,162,none,medium
female,group C,associate's degree,standard,67,84,81,232,completed,high
male,group B,associate's degree,standard,80,76,64,220,none,medium
female,group C,associate's degree,standard,74,75,83,232,completed,high
male,group A,some college,standard,69,67,69,205,none,medium
male,group E,some college,standard,99,87,81,267,completed,high
male,group C,some high school,standard,51,52,44,147,none,low
female,group B,associate's degree,free/reduced,53,71,67,191,none,medium
female,group D,high school,free/reduced,49,57,52,158,none,low
female,group B,associate's degree,standard,73,76,80,229,none,high
male,group B,bachelor's degree,standard,66,60,57,183,none,medium
male,group D,bachelor's degree,standard,67,61,68,196,completed,medium
female,group C,associate's degree,free/reduced,68,67,69,204,completed,medium
female,group C,bachelor's degree,standard,59,64,75,198,completed,medium
male,group C,high school,standard,71,66,65,202,none,medium
female,group D,master's degree,standard,77,82,91,250,completed,high
male,group C,associate's degree,standard,83,72,78,233,none,high
male,group B,bachelor's degree,standard,63,71,69,203,none,medium
female,group D,associate's degree,free/reduced,56,65,63,184,none,medium
female,group C,high school,free/reduced,67,79,84,230,completed,high
female,group E,high school,standard,75,86,79,240,none,high
female,group C,some college,standard,71,81,80,232,none,high
female,group C,some high school,free/reduced,43,53,53,149,none,low
female,group C,high school,free/reduced,41,46,43,130,none,low
female,group C,some college,standard,82,90,94,266,none,high
male,group C,some college,standard,61,61,62,184,none,medium
male,group A,some college,free/reduced,28,23,19,70,none,low
male,group C,associate's degree,standard,82,75,77,234,completed,high
female,group B,some high school,standard,41,55,51,147,none,low
male,group C,high school,standard,71,60,61,192,none,medium
male,group C,associate's degree,standard,47,37,35,119,none,low
male,group E,associate's degree,standard,62,56,53,171,completed,medium
male,group B,associate's degree,standard,90,78,81,249,none,high
female,group C,bachelor's degree,standard,83,93,95,271,none,high
female,group B,some college,free/reduced,61,68,66,195,none,medium
male,group D,some high school,standard,76,70,69,215,completed,medium
male,group C,associate's degree,standard,49,51,43,143,none,low
female,group B,some high school,free/reduced,24,38,27,89,none,low
female,group D,some high school,free/reduced,35,55,60,150,completed,low
male,group C,high school,free/reduced,58,61,52,171,none,medium
female,group C,high school,standard,61,73,63,197,none,medium
female,group B,high school,standard,69,76,74,219,completed,medium
male,group D,associate's degree,standard,67,72,67,206,completed,medium
male,group D,some college,standard,79,73,67,219,none,medium
female,group C,high school,standard,72,80,75,227,none,high
male,group B,some college,standard,62,61,57,180,none,medium
female,group C,bachelor's degree,standard,77,94,95,266,completed,high
male,group D,high school,free/reduced,75,74,66,215,none,medium
male,group E,associate's degree,standard,87,74,76,237,none,high
female,group B,bachelor's degree,standard,52,65,69,186,none,medium
male,group E,some college,standard,66,57,52,175,none,medium
female,group C,some college,standard,63,78,80,221,completed,high
female,group C,associate's degree,standard,46,58,57,161,none,medium
female,group C,some college,standard,59,71,70,200,none,medium
female,group B,bachelor's degree,standard,61,72,70,203,none,medium
male,group A,associate's degree,standard,63,61,61,185,none,medium
female,group C,some college,free/reduced,42,66,69,177,completed,medium
male,group D,some college,free/reduced,59,62,61,182,none,medium
female,group D,some college,standard,80,90,89,259,none,high
female,group B,high school,standard,58,62,59,179,none,medium
male,group B,some high school,standard,85,84,78,247,completed,high
female,group C,some college,standard,52,58,58,168,none,medium
female,group D,some high school,free/reduced,27,34,32,93,none,low
male,group C,some college,standard,59,60,58,177,none,medium
male,group A,bachelor's degree,free/reduced,49,58,60,167,completed,medium
male,group C,high school,standard,69,58,53,180,completed,medium
male,group C,bachelor's degree,free/reduced,61,66,61,188,none,medium
female,group A,some high school,free/reduced,44,64,58,166,none,medium
female,group D,some high school,standard,73,84,85,242,none,high
male,group E,some college,standard,84,77,71,232,none,high
female,group C,some college,free/reduced,45,73,70,188,completed,medium
male,group D,some high school,standard,74,74,72,220,none,medium
female,group D,some college,standard,82,97,96,275,completed,high
female,group D,bachelor's degree,standard,59,70,73,202,none,medium
male,group E,associate's degree,free/reduced,46,43,41,130,none,low
female,group D,some high school,standard,80,90,82,252,none,high
female,group D,master's degree,free/reduced,85,95,100,280,completed,high
female,group A,some high school,standard,71,83,77,231,none,high
male,group A,bachelor's degree,standard,66,64,62,192,none,medium
female,group B,associate's degree,standard,80,86,83,249,none,high
male,group C,associate's degree,standard,87,100,95,282,completed,high
male,group C,master's degree,free/reduced,79,81,71,231,none,high
female,group E,some high school,free/reduced,38,49,45,132,none,low
female,group A,some high school,free/reduced,38,43,43,124,none,low
female,group E,some college,standard,67,76,75,218,none,medium
female,group E,bachelor's degree,standard,64,73,70,207,none,medium
female,group C,associate's degree,free/reduced,57,78,67,202,none,medium
female,group D,high school,standard,62,64,64,190,none,medium
male,group D,master's degree,standard,73,70,75,218,none,medium
male,group E,some high school,free/reduced,73,67,59,199,completed,medium
female,group D,some college,standard,77,68,77,222,none,high
male,group E,some college,standard,76,67,67,210,none,medium
male,group C,associate's degree,standard,57,54,56,167,completed,medium
female,group C,some high school,standard,65,74,77,216,completed,medium
male,group A,high school,free/reduced,48,45,41,134,none,low
female,group B,high school,free/reduced,50,67,63,180,none,medium
female,group C,associate's degree,standard,85,89,95,269,none,high
male,group B,some high school,standard,74,63,57,194,none,medium
male,group D,some high school,standard,60,59,54,173,none,medium
female,group C,some high school,standard,59,54,67,180,completed,medium
male,group A,some college,standard,53,43,43,139,none,low
female,group A,some college,free/reduced,49,65,55,169,none,medium
female,group D,high school,standard,88,99,100,287,completed,high
female,group C,high school,standard,54,59,62,175,none,medium
female,group C,some high school,standard,63,73,68,204,none,medium
male,group B,associate's degree,standard,65,65,63,193,completed,medium
female,group B,associate's degree,standard,82,80,77,239,none,high
female,group D,high school,free/reduced,52,57,56,165,completed,medium
male,group D,associate's degree,standard,87,84,85,256,completed,high
female,group D,master's degree,standard,70,71,74,215,completed,medium
male,group E,some college,standard,84,83,78,245,completed,high
male,group D,associate's degree,standard,71,66,60,197,none,medium
male,group B,some high school,standard,63,67,67,197,completed,medium
female,group C,bachelor's degree,free/reduced,51,72,79,202,completed,medium
male,group E,high school,standard,84,73,69,226,none,high
male,group C,bachelor's degree,standard,71,74,68,213,completed,medium
male,group C,associate's degree,standard,74,73,67,214,none,medium
male,group D,some college,standard,68,59,62,189,none,medium
male,group E,high school,free/reduced,57,56,54,167,completed,medium
female,group C,associate's degree,free/reduced,82,93,93,268,completed,high
female,group D,high school,standard,57,58,64,179,completed,medium
female,group D,master's degree,free/reduced,47,58,67,172,completed,medium
female,group A,some high school,standard,59,85,80,224,completed,high
male,group B,some college,free/reduced,41,39,34,114,none,low
female,group C,some college,free/reduced,62,67,62,191,none,medium
male,group C,bachelor's degree,standard,86,83,86,255,none,high
male,group C,some high school,free/reduced,69,71,65,205,none,medium
male,group A,some high school,free/reduced,65,59,53,177,none,medium
male,group C,some high school,free/reduced,68,63,54,185,none,medium
male,group C,associate's degree,free/reduced,64,66,59,189,none,medium
female,group C,high school,standard,61,72,70,203,none,medium
male,group C,high school,standard,61,56,55,172,none,medium
female,group A,some high school,free/reduced,47,59,50,156,none,low
male,group C,some high school,standard,73,66,66,205,none,medium
male,group C,some college,free/reduced,50,48,53,151,completed,low
male,group D,associate's degree,standard,75,68,64,207,none,medium
male,group D,associate's degree,free/reduced,75,66,73,214,none,medium
male,group C,high school,standard,70,56,51,177,none,medium
male,group D,some high school,standard,89,88,82,259,completed,high
female,group C,some college,standard,67,81,79,227,completed,high
female,group D,high school,standard,78,81,80,239,none,high
female,group A,some high school,free/reduced,59,73,69,201,none,medium
female,group B,associate's degree,standard,73,83,76,232,none,high
male,group A,some high school,free/reduced,79,82,73,234,none,high
female,group C,some high school,standard,67,74,77,218,completed,medium
male,group D,some college,free/reduced,69,66,60,195,none,medium
male,group C,high school,standard,86,81,80,247,completed,high
male,group B,high school,standard,47,46,42,135,none,low
male,group B,associate's degree,standard,81,73,72,226,none,high
female,group C,some college,free/reduced,64,85,85,234,completed,high
female,group E,some college,standard,100,92,97,289,none,high
female,group C,associate's degree,free/reduced,65,77,74,216,none,medium
male,group C,some college,free/reduced,65,58,49,172,none,medium
female,group C,associate's degree,free/reduced,53,61,62,176,none,medium
male,group C,bachelor's degree,free/reduced,37,56,47,140,none,low
female,group D,bachelor's degree,standard,79,89,89,257,none,high
male,group D,associate's degree,free/reduced,53,54,48,155,none,low
female,group E,bachelor's degree,standard,100,100,100,300,none,high
male,group B,high school,standard,72,65,68,205,completed,medium
male,group C,bachelor's degree,free/reduced,53,58,55,166,none,medium
male,group B,some college,free/reduced,54,54,45,153,none,low
female,group E,some college,standard,71,70,76,217,none,medium
female,group C,some college,free/reduced,77,90,91,258,none,high
male,group A,bachelor's degree,standard,75,58,62,195,completed,medium
female,group C,some college,standard,84,87,91,262,none,high
female,group D,associate's degree,free/reduced,26,31,38,95,none,low
male,group A,high school,free/reduced,72,67,65,204,completed,medium
female,group A,high school,free/reduced,77,88,85,250,completed,high
male,group C,some college,standard,91,74,76,241,none,high
female,group C,associate's degree,standard,83,85,90,258,completed,high
female,group C,high school,standard,63,69,74,206,none,medium
female,group C,associate's degree,standard,68,86,84,238,completed,high
female,group D,some high school,standard,59,67,61,187,none,medium
female,group B,associate's degree,standard,90,90,91,271,completed,high
female,group D,bachelor's degree,standard,71,76,83,230,completed,high
male,group E,bachelor's degree,standard,76,62,66,204,completed,medium
male,group D,associate's degree,standard,80,68,72,220,none,medium
female,group D,master's degree,standard,55,64,70,189,none,medium
male,group E,associate's degree,standard,76,71,67,214,none,medium
male,group B,high school,standard,73,71,68,212,completed,medium
female,group D,associate's degree,free/reduced,52,59,56,167,none,medium
male,group C,some college,free/reduced,68,68,61,197,none,medium
male,group A,high school,standard,59,52,46,157,none,low
female,group B,associate's degree,standard,49,52,54,155,none,low
male,group C,high school,standard,70,74,71,215,none,medium
male,group D,some college,free/reduced,61,47,56,164,none,medium
female,group C,associate's degree,free/reduced,60,75,74,209,none,medium
male,group B,some high school,standard,64,53,57,174,completed,medium
male,group A,associate's degree,free/reduced,79,82,82,243,completed,high
female,group A,associate's degree,free/reduced,65,85,76,226,none,high
female,group C,associate's degree,standard,64,64,70,198,none,medium
female,group C,some college,standard,83,83,90,256,none,high
female,group C,bachelor's degree,standard,81,88,90,259,none,high
female,group B,high school,standard,54,64,68,186,none,medium
male,group D,high school,standard,68,64,66,198,completed,medium
female,group C,some college,standard,54,48,52,154,none,low
female,group D,some college,free/reduced,59,78,76,213,completed,medium
female,group B,some high school,standard,66,69,68,203,none,medium
male,group E,some college,standard,76,71,72,219,none,medium
female,group D,master's degree,standard,74,79,82,235,none,high
female,group B,associate's degree,standard,94,87,92,273,completed,high
male,group C,some college,free/reduced,63,61,54,178,none,medium
female,group E,associate's degree,standard,95,89,92,276,completed,high
female,group D,master's degree,free/reduced,40,59,54,153,none,low
female,group B,some high school,standard,82,82,80,244,none,high
male,group A,high school,standard,68,70,66,204,none,medium
male,group B,bachelor's degree,free/reduced,55,59,54,168,none,medium
male,group C,master's degree,standard,79,78,77,234,none,high
female,group C,bachelor's degree,standard,86,92,87,265,none,high
male,group D,some college,standard,76,71,73,220,none,medium
male,group A,some high school,standard,64,50,43,157,none,low
male,group D,some high school,free/reduced,62,49,52,163,none,medium
female,group B,some high school,standard,54,61,62,177,completed,medium
female,group B,master's degree,free/reduced,77,97,94,268,completed,high
female,group C,some high school,standard,76,87,85,248,completed,high
female,group D,some college,standard,74,89,84,247,none,high
female,group E,some college,standard,66,74,73,213,completed,medium
female,group D,some high school,standard,66,78,78,222,completed,high
female,group B,high school,free/reduced,67,78,79,224,completed,high
male,group D,some college,standard,71,49,52,172,none,medium
female,group C,associate's degree,standard,91,86,84,261,none,high
male,group D,bachelor's degree,standard,69,58,57,184,none,medium
male,group C,master's degree,free/reduced,54,59,50,163,none,medium
male,group C,high school,standard,53,52,49,154,completed,low
male,group E,some college,standard,68,60,59,187,none,medium
