Id,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,TotalRooms,GarageCars,GarageArea,YrSold,SalePrice
52,52.0,6240.0,1.5Fin,6,6,1934,816,Y,816,0,1,6,2,528,2006,114500
53,110.0,8472.0,1Story,5,5,1963,816,N,816,0,1,5,2,516,2010,110000
54,68.0,50271.0,1Story,9,5,1981,1842,Y,1842,0,0,5,3,894,2006,385000
55,60.0,7134.0,SLvl,5,5,1955,,Y,1360,0,1,6,2,572,2007,130000
56,100.0,10175.0,1Story,6,5,1964,,Y,1425,0,2,7,2,576,2008,180500
57,24.0,2645.0,2Story,8,5,1999,,Y,983,756,2,7,2,480,2009,172500
58,89.0,11645.0,2Story,7,5,2004,860,Y,860,860,2,7,2,565,2006,196500
59,66.0,13682.0,2Story,10,5,2006,,Y,1426,1519,3,10,3,641,2006,438780
60,60.0,7200.0,1Story,5,7,1972,780,Y,780,0,1,4,1,352,2008,124900
61,63.0,13072.0,1Story,6,5,2004,1158,Y,1158,0,1,5,2,576,2006,158000
62,60.0,7200.0,2.5Unf,5,7,1920,,N,581,530,1,6,1,288,2007,101000
63,44.0,6442.0,1Story,8,5,2006,1370,Y,1370,0,2,6,2,484,2007,202500
64,50.0,10300.0,2Story,7,6,1921,576,Y,902,808,2,9,2,480,2010,140000
65,,9375.0,2Story,7,5,1997,,Y,1057,977,2,8,2,645,2009,219500
66,76.0,,2Story,8,5,2004,1143,Y,1143,1330,2,9,3,852,2007,317000
67,,19900.0,1Story,7,5,1970,,Y,2207,0,2,7,2,576,2010,180000
68,72.0,10665.0,1Story,7,5,2003,1453,Y,1479,0,2,7,2,558,2007,226000
69,47.0,4608.0,1Story,4,6,1945,,Y,747,0,1,4,1,220,2010,80000
70,81.0,15593.0,1.5Fin,7,4,1953,1304,Y,1304,983,2,7,2,667,2006,225000
71,95.0,13651.0,1Story,7,6,1973,,Y,2223,0,2,8,2,516,2007,244000
72,69.0,7599.0,1Story,4,6,1982,845,Y,845,0,1,4,2,360,2007,129500
73,74.0,10141.0,2Story,7,5,1998,832,Y,885,833,2,7,2,427,2009,185000
74,85.0,10200.0,1Story,5,7,1954,1086,Y,1086,0,1,6,2,490,2010,144900
75,60.0,5790.0,2Story,3,6,1915,840,N,840,765,2,8,1,379,2010,107400
76,21.0,1596.0,SLvl,4,5,1973,462,Y,526,462,1,5,1,297,2009,91000
77,,8475.0,1Story,4,7,1956,,Y,952,0,1,4,1,283,2008,135750
78,50.0,8635.0,1.5Fin,5,5,1948,672,Y,1072,213,1,6,1,240,2008,127000
79,72.0,10778.0,1Story,4,5,1968,,N,1768,0,2,8,0,0,2010,136500
80,60.0,10440.0,2Story,5,6,1910,,Y,682,548,1,5,2,440,2009,110000
81,100.0,,2Story,6,6,1968,,Y,1182,960,2,8,1,509,2009,193500
82,32.0,4500.0,1Story,6,5,1998,,Y,1337,0,2,5,2,405,2006,153500
83,78.0,10206.0,1Story,8,5,2007,1563,Y,1563,0,2,6,3,758,2008,245000
84,80.0,8892.0,1Story,5,5,1960,1065,Y,1065,0,1,6,2,461,2007,126500
85,,8530.0,SLvl,7,5,1995,,Y,804,670,2,7,2,400,2009,168500
86,121.0,16059.0,2Story,8,5,1991,,Y,1301,1116,2,9,2,462,2006,260000
87,122.0,,2Story,6,5,2005,684,Y,684,876,2,6,2,400,2009,174000
88,40.0,3951.0,2Story,6,5,2009,612,Y,612,612,2,4,2,528,2009,164500
89,105.0,8470.0,1.5Fin,3,2,1915,1013,N,1013,0,1,6,0,0,2009,85000
90,60.0,8070.0,1Story,4,5,1994,990,Y,990,0,1,5,0,0,2007,123600
91,60.0,7200.0,1Story,4,5,1950,0,Y,1040,0,1,4,2,420,2006,109900
92,85.0,8500.0,1Story,5,3,1961,1235,Y,1235,0,1,6,2,480,2006,98600
93,80.0,13360.0,1Story,5,7,1921,876,Y,964,0,1,5,2,432,2009,163500
94,60.0,7200.0,2.5Unf,6,6,1910,1214,N,1260,1031,2,9,2,506,2007,133900
95,69.0,9337.0,2Story,6,5,1997,824,Y,905,881,2,7,2,684,2007,204750
96,,9765.0,2Story,6,8,1993,,Y,680,790,2,6,2,420,2009,185000
97,78.0,10264.0,1Story,7,5,1999,1588,Y,1588,0,2,6,2,472,2006,214000
98,73.0,10921.0,1Story,4,5,1965,960,Y,960,0,1,6,1,432,2007,94750
99,85.0,10625.0,1Story,5,5,1920,458,N,835,0,1,5,1,366,2010,83000
100,77.0,9320.0,1Story,4,5,1959,950,Y,1225,0,1,6,0,0,2010,128950
101,,10603.0,1Story,6,7,1977,1610,Y,1610,0,2,6,2,480,2010,205000
102,77.0,9206.0,2Story,6,5,1985,741,Y,977,755,2,7,2,476,2010,178000
103,64.0,7018.0,1Story,5,5,1979,0,Y,1535,0,2,8,2,410,2009,118964
104,94.0,10402.0,1Story,7,5,2009,,Y,1226,0,2,6,3,740,2010,198900
105,,7758.0,1.5Fin,7,4,1931,1040,Y,1226,592,1,7,1,240,2007,169500
106,75.0,9375.0,2Story,8,5,2003,1053,Y,1053,939,2,9,2,648,2008,250000
107,60.0,10800.0,1Story,4,7,1885,,Y,1047,0,1,6,1,273,2007,100000
108,50.0,6000.0,1Story,5,5,1948,789,Y,789,0,1,5,1,250,2008,115000
109,85.0,8500.0,1.5Fin,5,7,1919,793,N,997,520,2,7,0,0,2007,115000
110,105.0,11751.0,1Story,6,6,1977,1844,Y,1844,0,2,7,2,546,2010,190000
111,75.0,9525.0,1.5Fin,6,4,1954,,Y,1216,639,2,7,1,325,2006,136900
112,,,SLvl,7,5,2000,,Y,774,656,2,7,2,400,2010,180000
113,77.0,,2Story,7,5,2007,,Y,1282,1414,2,10,3,792,2007,383970
114,,21000.0,1Story,6,5,1953,1809,Y,2259,0,2,7,2,450,2007,217000
115,61.0,7259.0,2Story,6,8,1945,,Y,1436,884,2,9,1,180,2007,259500
116,34.0,3230.0,2Story,6,5,1999,729,Y,729,729,2,5,2,440,2007,176000
117,,11616.0,1Story,5,5,1962,1092,Y,1092,0,1,6,1,288,2009,139000
118,74.0,8536.0,1Story,5,5,2006,1125,Y,1125,0,1,5,2,430,2007,155000
119,90.0,12376.0,2Story,7,5,1990,1673,Y,1699,1523,3,11,3,594,2010,320000
120,65.0,8461.0,2Story,6,5,2005,728,Y,728,728,2,8,2,390,2006,163990
121,,,SLvl,6,5,1969,938,Y,988,0,1,4,2,540,2006,180000
122,50.0,6060.0,1.5Fin,4,5,1939,,Y,772,351,1,4,1,264,2007,100000
123,75.0,9464.0,1Story,6,7,1958,1080,Y,1080,0,1,5,1,288,2008,136000
124,55.0,7892.0,1Story,6,5,1993,1199,Y,1199,0,2,5,2,530,2008,153900
125,48.0,17043.0,1Story,6,5,1979,,Y,1586,0,2,7,2,435,2009,181000
126,60.0,6780.0,1.5Fin,6,8,1935,520,N,520,0,1,5,0,0,2006,84500
127,,4928.0,1Story,6,5,1976,,Y,958,0,2,5,2,440,2007,128000
128,55.0,4388.0,1.5Unf,5,7,1930,,Y,840,0,1,5,0,0,2007,87000
129,69.0,7590.0,2Story,6,5,1966,660,Y,660,688,1,6,2,453,2006,155000
130,69.0,8973.0,1Story,5,7,1958,1008,Y,1053,0,1,6,2,750,2006,150000
131,88.0,14200.0,2Story,7,6,1966,924,Y,1216,941,2,8,2,487,2006,226000
132,,12224.0,2Story,6,5,2000,992,Y,1022,1032,2,7,2,390,2009,244000
133,75.0,7388.0,1Story,5,6,1959,,Y,1327,0,1,7,2,624,2007,150750
134,,6853.0,1Story,8,5,2001,1267,Y,1296,0,2,6,2,471,2009,220000
135,78.0,10335.0,1Story,5,6,1968,1461,Y,1721,0,2,7,2,440,2006,180000
136,80.0,10400.0,1Story,7,6,1970,,Y,1682,0,2,7,2,530,2008,174000
137,,,1Story,5,5,1967,1214,Y,1214,0,2,5,1,318,2007,143000
138,82.0,11070.0,1Story,7,5,1988,1907,Y,1959,0,3,9,3,766,2006,171000
139,73.0,9066.0,2Story,8,5,1999,,Y,1004,848,2,7,3,660,2008,230000
140,65.0,15426.0,2Story,6,5,1997,928,Y,928,836,2,7,2,470,2009,231500
141,70.0,10500.0,1Story,4,5,1971,864,Y,864,0,1,5,0,0,2010,115000
142,78.0,11645.0,1Story,7,5,2005,1734,Y,1734,0,2,7,2,660,2006,260000
143,71.0,8520.0,1.5Fin,5,4,1952,910,Y,910,475,2,6,2,720,2010,166000
144,78.0,10335.0,1Story,7,5,1999,,Y,1501,0,2,6,2,577,2009,204000
145,70.0,9100.0,1Story,5,5,1963,1728,Y,1728,0,2,10,2,504,2006,125000
146,24.0,2522.0,2Story,6,5,2004,970,Y,970,739,2,7,2,380,2006,130000
147,51.0,6120.0,1Story,5,7,1931,,Y,875,0,1,5,1,180,2009,105000
148,,9505.0,2Story,7,5,2001,884,Y,884,1151,2,8,2,434,2010,222500
149,63.0,7500.0,1Story,7,5,2004,1080,Y,1080,0,1,6,0,0,2008,141000
150,,6240.0,1.5Fin,5,4,1936,,Y,896,448,1,7,1,240,2006,115000
151,120.0,10356.0,1Story,5,6,1975,969,Y,969,0,1,5,2,440,2007,122000
152,107.0,13891.0,1Story,8,5,2007,1710,Y,1710,0,2,6,3,866,2008,372402
153,,,2Story,6,5,1971,,Y,1097,896,2,8,2,495,2006,190000
154,,13500.0,1Story,6,7,1960,1602,Y,1252,0,1,4,2,564,2008,235000
155,84.0,11340.0,1Story,6,5,1923,,Y,1200,0,1,7,1,312,2006,125000
156,60.0,,1.5Fin,6,5,1924,572,N,572,524,1,5,0,0,2008,79000
157,60.0,7200.0,1Story,5,7,1950,0,Y,1040,0,1,5,2,625,2006,109500
158,92.0,,2Story,8,5,2009,774,Y,774,1194,2,8,3,680,2010,269500
159,100.0,12552.0,2Story,7,5,2004,,Y,991,956,2,8,2,678,2010,254900
160,134.0,19378.0,2Story,7,5,2005,1392,Y,1392,1070,2,9,2,576,2006,320000
161,,11120.0,1Story,6,6,1984,1232,Y,1232,0,2,6,2,516,2008,162500
162,110.0,13688.0,2Story,9,5,2003,,Y,1572,1096,2,10,3,726,2008,412500
163,95.0,12182.0,1Story,7,5,2005,,Y,1541,0,2,7,2,532,2010,220000
164,55.0,,1.5Unf,4,6,1956,882,Y,882,0,1,4,0,0,2007,103200
165,40.0,5400.0,1Story,6,7,1926,1149,Y,1149,467,2,5,1,216,2007,152000
166,62.0,10106.0,1.5Fin,5,7,1940,644,Y,808,547,2,6,0,0,2008,127500
167,,10708.0,1Story,5,5,1955,,Y,1867,0,1,7,1,303,2009,190000
168,86.0,10562.0,2Story,8,5,2007,1582,Y,1610,551,1,8,3,789,2007,325624
169,62.0,8244.0,2Story,7,5,2004,,Y,840,880,2,7,2,440,2007,183500
170,,,1Story,8,6,1981,1686,Y,1707,0,2,6,2,511,2006,228000
171,,,1.5Fin,5,6,1941,720,Y,854,0,1,7,2,660,2007,128500
172,141.0,31770.0,1Story,6,5,1960,1080,Y,1656,0,1,7,2,528,2010,215000
173,44.0,5306.0,2Story,7,7,1987,1064,Y,1064,703,2,5,2,504,2006,239000
174,80.0,10197.0,1Story,6,5,1961,1362,Y,1362,0,1,6,2,504,2008,163000
175,47.0,12416.0,1Story,6,5,1986,,Y,1651,0,2,7,2,616,2008,184000
176,84.0,,1Story,6,7,1950,1202,Y,2158,0,2,7,2,576,2007,243000
177,97.0,10029.0,2Story,6,5,1988,1151,Y,1164,896,2,8,2,521,2007,211000
178,,13650.0,1.5Fin,5,5,1958,1052,Y,1252,668,2,8,2,451,2006,172500
179,63.0,17423.0,1Story,9,5,2008,,Y,2234,0,2,9,3,1166,2009,501837
180,60.0,,1Story,5,6,1923,,Y,968,0,1,5,2,480,2007,100000
181,,2117.0,2Story,6,5,2000,756,Y,769,756,2,5,2,440,2007,177000
182,54.0,7588.0,2Story,7,6,1920,,Y,901,901,1,9,1,216,2006,200100
183,60.0,9060.0,1Story,5,6,1957,0,Y,1340,0,1,7,1,252,2007,120000
184,63.0,11426.0,1.5Fin,7,5,2003,1362,Y,1362,720,2,6,2,484,2008,200000
185,92.0,7438.0,1.5Fin,5,8,1908,504,Y,936,316,1,5,2,576,2006,127000
186,90.0,22950.0,2.5Fin,10,9,1892,1107,Y,1518,1518,2,12,3,840,2006,475000
187,,9947.0,SLvl,7,5,1990,,Y,1217,0,2,6,2,497,2009,173000
188,60.0,10410.0,1.5Fin,5,7,1916,,Y,808,704,2,8,1,180,2009,135000
189,64.0,7018.0,SFoyer,5,5,1979,,Y,1224,0,0,6,2,528,2009,153337
190,41.0,4923.0,1Story,8,5,2001,1593,Y,1593,0,1,5,2,682,2008,286000
191,70.0,10570.0,2Story,8,8,1932,853,Y,1549,1178,2,10,2,440,2007,315000
192,,7472.0,2Story,7,9,1972,,Y,725,754,1,7,2,484,2007,184000
193,68.0,9017.0,1Story,7,5,1999,1431,Y,1431,0,2,6,2,666,2009,192000
194,24.0,2522.0,2Story,7,5,2004,970,Y,970,739,2,7,2,380,2006,130000
195,60.0,7180.0,1Story,5,7,1972,864,Y,864,0,1,5,1,352,2008,127000
196,24.0,2280.0,2Story,6,6,1976,,Y,855,601,2,7,2,440,2009,148500
197,79.0,9416.0,1Story,7,5,2007,1726,Y,1726,0,2,8,3,786,2007,311872
198,174.0,25419.0,2Story,8,4,1918,1360,Y,1360,1360,2,8,2,795,2006,235000
199,92.0,5520.0,2.5Fin,6,6,1912,755,Y,929,929,1,8,0,0,2009,104000
200,76.0,9591.0,1Story,8,5,2004,,Y,1713,0,2,7,3,856,2009,274900
201,80.0,8546.0,1Story,4,5,2003,,Y,1121,0,2,5,2,440,2010,140000
202,75.0,10125.0,1Story,6,6,1977,1196,Y,1279,0,2,6,2,473,2008,171500
203,50.0,7000.0,1.5Fin,6,6,1924,617,Y,865,445,2,6,1,398,2006,112000
204,,4438.0,1Story,6,5,2004,,Y,848,0,1,3,2,420,2008,149000
205,50.0,3500.0,1.5Fin,5,7,1947,,Y,720,564,1,5,1,240,2009,110000
206,99.0,11851.0,1Story,7,5,1990,1424,Y,1442,0,2,5,2,500,2009,180500
207,40.0,13673.0,1Story,5,5,1962,1140,Y,1696,0,1,8,1,349,2007,143900
208,,12493.0,1Story,4,5,1960,1100,Y,1100,0,1,6,1,312,2008,141000
209,,14364.0,2Story,7,5,1988,1157,Y,1180,882,2,7,2,454,2007,277000
210,75.0,,1Story,6,7,1964,1092,Y,1092,0,1,6,2,504,2008,145000
211,67.0,5604.0,1Story,5,6,1925,864,N,864,0,1,5,0,0,2008,98000
212,83.0,10420.0,1Story,6,5,2009,1212,Y,1212,0,2,6,2,460,2010,186000
213,72.0,8640.0,2Story,7,5,2009,900,Y,932,920,2,7,2,644,2009,252678
214,43.0,13568.0,1Story,5,5,1995,990,Y,990,0,1,5,2,576,2006,156000
215,,10900.0,2Story,6,7,1977,689,Y,689,703,1,6,1,299,2010,161750
216,72.0,10011.0,1Story,5,6,1957,1070,Y,1236,0,1,6,1,447,2006,134450
217,65.0,8450.0,1Story,7,5,2004,1436,Y,1436,0,2,8,2,484,2008,210000
218,57.0,9906.0,2Story,4,4,1925,,N,810,518,1,8,1,210,2006,107000
219,,15660.0,1.5Fin,7,9,1939,798,Y,1137,817,1,8,2,431,2008,311500
220,43.0,3010.0,1Story,7,5,2005,1248,Y,1248,0,2,5,2,438,2006,167240
221,73.0,8990.0,1Story,7,5,2006,1498,Y,1498,0,2,5,2,675,2006,204900
222,,8068.0,2Story,6,5,2002,,Y,1010,1257,2,8,2,390,2009,200000
223,85.0,11475.0,2Story,6,6,1975,,Y,811,741,2,6,2,434,2006,179900
224,70.0,10500.0,1Story,4,6,1971,,Y,864,0,1,4,2,576,2009,97000
225,103.0,13472.0,1Story,10,5,2003,2392,Y,2392,0,2,8,3,968,2009,386250
226,21.0,1680.0,2Story,5,5,1971,630,Y,630,672,2,6,1,280,2009,112000
227,82.0,9950.0,2Story,7,5,1995,1203,Y,1214,1306,2,9,3,721,2007,290000
228,21.0,1869.0,2Story,6,6,1970,483,Y,483,504,1,5,1,280,2008,106000
229,70.0,8521.0,1Story,5,5,1967,,Y,912,0,1,5,1,336,2010,125000
230,43.0,3182.0,1Story,7,5,2005,1373,Y,1555,0,2,7,2,430,2009,192500
231,73.0,8760.0,1Story,6,6,1959,1194,Y,1194,0,1,6,1,312,2010,148000
232,174.0,15138.0,2Story,8,5,1995,1462,Y,1490,1304,2,9,3,810,2009,403000
233,21.0,1680.0,2Story,6,5,1972,,Y,483,504,1,5,1,288,2006,94500
234,75.0,10650.0,1Story,5,6,1976,,Y,894,0,1,5,1,308,2010,128200
235,,7851.0,2Story,6,5,2002,,Y,860,1100,2,8,2,440,2010,216500
236,21.0,1680.0,2Story,6,3,1971,,Y,483,504,1,5,1,264,2008,89500
237,65.0,8773.0,1Story,7,5,2004,1414,Y,1414,0,2,6,2,494,2010,185500
238,,9453.0,2Story,7,7,1993,996,Y,1014,730,2,7,2,457,2010,194500
239,93.0,12030.0,1Story,8,5,2007,,Y,1694,0,2,7,3,818,2007,318000
240,52.0,8741.0,1.5Fin,6,4,1945,,Y,798,689,1,7,1,220,2010,113000
241,75.0,9000.0,1Story,8,5,2008,1566,Y,1566,0,2,7,2,750,2010,262500
242,40.0,3880.0,1Story,5,9,1945,686,Y,866,0,1,4,0,0,2007,110500
243,63.0,5000.0,1.5Fin,5,4,1900,540,N,889,551,1,6,1,352,2006,79000
244,75.0,10762.0,2Story,6,6,1980,626,Y,626,591,1,6,1,288,2009,120000
245,,8880.0,2Story,7,5,1994,948,Y,1222,888,2,8,2,463,2010,205000
246,80.0,10400.0,1Story,7,5,1988,,Y,1872,0,2,6,2,604,2006,241500
247,69.0,,2Story,6,8,1910,,N,908,1020,2,9,1,440,2006,137000
248,75.0,11310.0,1Story,6,5,1954,1367,Y,1375,0,1,5,2,451,2006,140000
249,72.0,11317.0,2Story,7,5,2003,840,Y,840,828,2,8,2,500,2007,180000
250,,159000.0,1.5Fin,6,7,1958,,Y,1444,700,2,7,2,389,2007,277000
251,55.0,5350.0,1Story,3,2,1940,728,Y,1306,0,1,6,0,0,2010,76500
252,44.0,4750.0,1Story,8,5,2006,1573,Y,1625,0,2,5,2,538,2007,235000
253,65.0,8366.0,2Story,6,5,2004,798,Y,798,842,2,6,2,520,2008,173000
254,85.0,9350.0,SLvl,6,7,1964,1302,Y,1302,0,2,7,1,309,2007,158000
255,70.0,8400.0,1Story,5,6,1957,,Y,1314,0,1,5,1,294,2010,145000
256,66.0,8738.0,2Story,7,5,1999,975,Y,1005,1286,2,8,2,429,2006,230000
257,64.0,,2Story,6,5,2003,864,Y,864,864,2,7,2,673,2008,207500
258,68.0,8814.0,1Story,7,5,2006,1604,Y,1604,0,2,8,2,660,2009,220000
259,80.0,12435.0,2Story,7,5,2001,963,Y,963,829,2,7,2,564,2008,231500
260,70.0,12702.0,1Story,5,5,1956,0,Y,882,0,1,4,1,308,2008,97000
261,120.0,19296.0,SLvl,6,5,1962,,Y,1382,0,1,6,2,884,2009,176000
262,69.0,9588.0,2Story,8,5,2007,1482,Y,1482,1092,2,10,3,868,2007,276000
263,88.0,8471.0,SLvl,6,7,1977,506,Y,1212,0,1,6,2,492,2006,151000
264,50.0,,1.5Fin,5,7,1929,,Y,926,0,1,6,2,484,2010,130000
265,30.0,5232.0,1Story,5,5,1925,,N,764,0,1,4,2,504,2008,73000
266,78.0,12090.0,1Story,6,6,1981,,Y,1422,0,2,7,2,576,2008,175500
267,70.0,11207.0,2Story,6,5,1997,802,Y,802,709,2,8,2,413,2006,185000
268,60.0,8400.0,2.5Fin,5,8,1939,720,Y,1052,720,2,8,1,240,2008,179500
269,71.0,6900.0,1Story,5,6,1940,,Y,778,0,1,4,1,924,2008,120500
270,,7917.0,1Story,6,7,1976,,Y,1113,0,1,6,1,504,2007,148000
271,84.0,10728.0,2Story,8,5,2006,1095,Y,1095,844,2,8,3,1053,2006,266000
272,73.0,,1Story,7,7,1954,1385,Y,1363,0,1,5,2,439,2008,241500
273,92.0,11764.0,2Story,8,7,1999,1152,Y,1164,1106,2,9,3,671,2010,290000
274,80.0,9600.0,1Story,6,6,1958,1240,Y,1632,0,2,6,1,338,2009,139000
275,76.0,8314.0,1Story,5,7,1982,816,Y,816,0,1,5,1,264,2007,124500
276,55.0,7264.0,1.5Fin,7,7,1925,,N,952,596,2,5,2,672,2009,205000
277,129.0,9196.0,1Story,7,5,2003,1560,Y,1560,0,2,7,2,573,2010,201000
278,140.0,19138.0,1Story,4,5,1951,,Y,864,0,1,4,2,400,2010,141000
279,107.0,14450.0,1Story,9,5,2006,,Y,2121,0,2,8,3,732,2007,415298
280,83.0,10005.0,2Story,7,5,1977,1160,Y,1156,866,2,8,2,505,2008,192000
281,82.0,11287.0,2Story,7,6,1989,807,Y,1175,807,2,7,2,575,2007,228500
282,60.0,7200.0,1Story,6,5,2006,,Y,1262,0,2,5,2,572,2006,185000
283,34.0,5063.0,1Story,7,5,2007,1314,Y,1314,0,2,6,2,626,2009,207500
284,74.0,9612.0,1Story,8,5,2008,1468,Y,1468,0,2,6,3,898,2009,244600
285,50.0,,1Story,6,5,1992,1575,Y,1575,0,2,5,2,529,2007,179200
286,35.0,,2Story,7,5,2006,,Y,625,625,2,5,2,528,2007,164700
287,77.0,9786.0,1.5Fin,6,7,1962,,Y,1085,649,1,7,2,440,2006,159000
288,,8125.0,1Story,4,4,1971,858,Y,858,0,1,5,0,0,2006,88000
289,,9819.0,1Story,5,5,1967,882,Y,900,0,1,5,1,280,2010,122000
290,60.0,8730.0,2Story,6,7,1915,,Y,698,698,1,7,1,384,2007,153575
291,120.0,15611.0,2Story,8,5,2006,1079,Y,1079,840,2,8,2,685,2006,233230
292,55.0,5687.0,2Story,5,6,1912,,N,936,780,2,9,0,0,2008,135900
293,60.0,11409.0,1.5Fin,5,4,1949,,Y,1148,568,1,8,1,281,2009,131000
294,,16659.0,2Story,7,7,1977,795,Y,1468,795,2,9,2,539,2006,235000
295,80.0,9600.0,1Story,6,5,1953,1416,Y,1644,0,1,7,2,418,2009,167000
296,37.0,7937.0,SLvl,6,6,1984,1003,Y,1003,0,1,6,2,588,2006,142500
297,75.0,13710.0,1.5Fin,5,5,1950,910,Y,910,648,1,6,1,282,2007,152000
298,66.0,7399.0,2Story,7,5,1997,975,Y,975,975,2,7,2,576,2007,239000
299,90.0,11700.0,2Story,6,6,1968,,Y,1041,702,1,7,2,539,2007,175000
300,80.0,14000.0,1Story,6,8,1950,1092,Y,1152,0,1,6,1,300,2009,158500
301,90.0,15750.0,1Story,5,5,1953,,Y,1336,0,1,5,1,375,2006,157000
302,66.0,16226.0,2Story,8,5,1998,,Y,1210,1242,2,9,2,683,2007,267000
303,118.0,13704.0,1Story,7,5,2001,1541,Y,1541,0,2,6,3,843,2006,205000
304,70.0,9800.0,1Story,5,7,1972,894,Y,894,0,1,5,2,552,2006,149900
